alli_q,answer_4
Am I a bad communicator?,Cannot predict now
Am I a bad dancer?,Cannot predict now
Am I a bad listener?,Cannot predict now
Am I a good person?,Cannot predict now
Am I allergic to peanuts?,Cannot predict now
Am I bad at reading the room?,Cannot predict now
Am I conflict avoidant?,Cannot predict now
Am I dumb?,Cannot predict now
Am I emotionally intelligent?,Cannot predict now
Am I going to get a job interview next week?,Cannot predict now
Am I good at creative problem solving?,Cannot predict now
Am I good leader?,Cannot predict now
Am I passive aggressive?,Cannot predict now
Am I self aware enough?,Cannot predict now
Am I self obsessed?,Cannot predict now
Am I too conflict avoidant?,Cannot predict now
Are cats better than dogs?,Cannot predict now
Are dogs better than cats?,Cannot predict now
Are ghosts real?,Cannot predict now
Are our neighbors FBI operatives?,Cannot predict now
Are we going to break up soon?,Cannot predict now
Can I convince Marco to talk to his dad?,Cannot predict now
Can I refinish that dresser on my own?,Cannot predict now
Can I stay in my band after the baby is born?,Cannot predict now
Can I stop being so annoying if I speak less?,Cannot predict now
Can I trust you?,Cannot predict now
Did I do the right thing?,Cannot predict now
Did I help?,Cannot predict now
Did I hurt them?,Cannot predict now
Did my boyfriend cheat on me?,Cannot predict now
Did my girlfriend have an emotional affair?,Cannot predict now
Do I have anxious attachment style?,Cannot predict now
Do I have bad taste in music?,Cannot predict now
Do I need a makeover?,Cannot predict now
Do I need a new hobby?,Cannot predict now
Do I need a new security service?,Cannot predict now
Do I need more adventure in my life?,Cannot predict now
Do I need more marketable skills?,Cannot predict now
Do I need new clothes?,Cannot predict now
Do I need public speaking classes?,Cannot predict now
Do I need to become better at aruging?,Cannot predict now
Do I need to buy a new laptop this year?,Cannot predict now
Do I need to go back to school in order to earn more money?,Cannot predict now
Do I need to take a class on improving my emotional intelligence?,Cannot predict now
Do I need to throw up?,Cannot predict now
Do I need to work on becoming a better communicator?,Cannot predict now
Do people really hate puns?,Cannot predict now
Do people stay friends with people they meet at camp?,Cannot predict now
Do the other people in my book club think I'm dumb?,Cannot predict now
Does Jenna hate me?,Cannot predict now
Does Penny have a crush on me?,Cannot predict now
Is a MBA really worth it these days?,Cannot predict now
Is a new opportunity coming my way?,Cannot predict now
Is AI going to wipe out my career?,Cannot predict now
Is Dino going to ask me to prom?,Cannot predict now
